scope,source_term,text,label
main_fit,优惠,优惠惠,1
main_fit,优惠,优会,1
main_fit,优惠,优优惠,1
main_fit,优惠,优惠,1
main_fit,优惠,游惠,1
main_fit,优惠,优 惠,1
main_fit,优惠,优回,1
main_fit,优惠,有惠,1
main_fit,您好,您好,1
main_fit,您好,您号,1
main_fit,您好,您 好,1
main_fit,您好,您您好,1
main_fit,您好,您好好,1
main_fit,您好,您豪,1
main_fit,尊敬,尊京,1
main_fit,尊敬,樽敬,1
main_fit,尊敬,尊敬敬,1
main_fit,尊敬,遵敬,1
main_fit,尊敬,尊经,1
main_fit,尊敬,尊尊敬,1
main_fit,尊敬,尊敬,1
main_fit,尊敬,尊 敬,1
main_fit,尊敬的,尊敬-的,1
main_fit,尊敬的,尊-敬的,1
main_fit,尊敬的,尊尊敬的,1
main_fit,尊敬的,遵敬的,1
main_fit,尊敬的,尊敬德,1
main_fit,尊敬的,尊敬得,1
main_fit,尊敬的,樽敬的,1
main_fit,尊敬的,尊 敬 的,1
main_fit,尊敬的,尊敬的,1
main_fit,尊敬的,尊京的,1
main_fit,尊敬的,尊经的,1
main_fit,尊敬的,尊敬 的,1
main_fit,尊敬的,尊敬敬的,1
main_fit,尊敬的,尊 敬的,1
main_fit,敬的,敬得,1
main_fit,敬的,敬的的,1
main_fit,敬的,敬德,1
main_fit,敬的,京的,1
main_fit,敬的,敬 的,1
main_fit,敬的,敬的,1
main_fit,敬的,经的,1
main_fit,敬的,敬敬的,1
main_fit,x折,x折折,1
main_fit,x折,x这,1
main_fit,x折,x着,1
main_fit,x折,x 折,1
main_fit,x折,x折,1
main_fit,x折,xx折,1
main_fit,新老,新老,1
main_fit,新老,新 老,1
main_fit,新老,新牢,1
main_fit,新老,新老老,1
main_fit,新老,新劳,1
main_fit,新老,新新老,1
main_fit,新老,信老,1
main_fit,新老,心老,1
main_fit,三八,三八,1
main_fit,三八,三八八,1
main_fit,三八,散八,1
main_fit,三八,三把,1
main_fit,三八,三三八,1
main_fit,三八,三吧,1
main_fit,三八,三 八,1
main_fit,三八,伞八,1
main_fit,女节,女女节,1
main_fit,女节,女结,1
main_fit,女节,女接,1
main_fit,女节,女节节,1
main_fit,女节,女节,1
main_fit,女节,女 节,1
main_fit,送xx,送xx,1
main_fit,送xx,送 x x,1
main_fit,送xx,送 xx,1
main_fit,送xx,松xx,1
main_fit,送xx,送xxx,1
main_fit,送xx,送送xx,1
main_fit,送xx,送x-x,1
main_fit,送xx,送x x,1
main_fit,送xx,送-xx,1
main_fit,送xx,讼xx,1
main_fit,"好,我是","好,沃是",1
main_fit,"好,我是","好,我 是",1
main_fit,"好,我是","好,我是",1
main_fit,"好,我是","好 ,我是",1
main_fit,"好,我是","好好,我是",1
main_fit,"好,我是","豪,我是",1
main_fit,"好,我是","好,我时",1
main_fit,"好,我是","好 , 我 是",1
main_fit,"好,我是","号,我是",1
main_fit,"好,我是","好,我市",1
main_fit,"好,我是","好,卧是",1
main_fit,满x,慢x,1
main_fit,满x,满x,1
main_fit,满x,满xx,1
main_fit,满x,满满x,1
main_fit,满x,漫x,1
main_fit,满x,满 x,1
main_fit,妇女节,服女节,1
main_fit,妇女节,妇女-节,1
main_fit,妇女节,妇女节,1
main_fit,妇女节,妇女 节,1
main_fit,妇女节,妇妇女节,1
main_fit,妇女节,府女节,1
main_fit,妇女节,妇-女节,1
main_fit,妇女节,妇女女节,1
main_fit,妇女节,妇女接,1
main_fit,妇女节,妇 女节,1
main_fit,妇女节,妇女结,1
main_fit,妇女节,妇 女 节,1
main_fit,元宵,元小,1
main_fit,元宵,院宵,1
main_fit,元宵,元宵宵,1
main_fit,元宵,员宵,1
main_fit,元宵,元 宵,1
main_fit,元宵,元宵,1
main_fit,元宵,元消,1
