scope,term,spam_df,normal_df,hard_df,score,term_type
main_fit,优惠,171,1,21,563.1078502128228,positive
main_fit,您好,147,2,36,382.42862222465897,positive
main_fit,尊敬,64,0,8,347.52721473301966,positive
main_fit,尊敬的,64,0,8,347.52721473301966,positive
main_fit,敬的,64,0,8,347.52721473301966,positive
main_fit,x折,144,2,23,326.2257066886741,positive
main_fit,新老,52,0,11,311.9162312519754,positive
main_fit,三八,80,1,24,300.1804425851602,positive
main_fit,女节,42,0,10,250.12839055378367,positive
main_fit,送xx,48,0,6,244.44732429918074,positive
main_fit,"好,我是",39,0,11,243.7731892289082,positive
main_fit,满x,76,1,15,241.91568887212367,positive
main_fit,妇女节,40,0,10,239.84136359618387,positive
main_fit,元宵,73,1,15,233.40909122607127,positive
main_fit,满xx,73,1,14,228.34417753838855,positive
main_fit,询x,30,0,13,215.6988091333409,positive
main_fit,询xx,30,0,13,215.6988091333409,positive
main_fit,询xxx,30,0,13,215.6988091333409,positive
main_fit,满xxx,68,1,14,214.31376947813501,positive
main_fit,八节,36,0,9,210.57527680690023,positive
main_fit,致电,55,1,20,207.8752003337439,positive
main_fit,好消,30,0,12,206.86600636314594,positive
main_fit,好消息,30,0,12,206.86600636314594,positive
main_fit,女人节,44,0,4,206.2664757998632,positive
main_fit,谢您,34,0,9,200.56205059766782,positive
main_fit,感谢您,32,0,9,190.6211505324518,positive
main_fit,三八节,33,0,8,186.88348091416842,positive
main_fit,送xxx,38,0,5,185.42529206199478,positive
main_fit,祝您,64,1,10,183.49324482529317,positive
main_fit,三月,37,0,5,180.537605553291,positive
main_fit,抢购,33,0,7,178.25145920180677,positive
main_fit,送x,62,1,10,178.05406680765822,positive
main_fit,惠活,38,0,4,176.77640543759742,positive
main_fit,惠活动,38,0,4,176.77640543759742,positive
main_fit,详询,33,0,6,169.68845488924106,positive
main_fit,光临,55,1,12,168.78030820704427,positive
main_fit,的光临,34,0,5,165.99957543512713,positive
main_fit,老顾,33,0,5,161.19671242970443,positive
main_fit,老顾客,33,0,5,161.19671242970443,positive
main_fit,即日,31,0,6,160.05379102796098,positive
main_fit,您的光,32,0,5,156.4162048682346,positive
main_fit,即日起,30,0,6,155.26947024370165,positive
main_fit,x.x折,59,1,6,150.8275707129513,positive
main_fit,全场,91,3,18,150.41537170535733,positive
main_fit,春季,25,0,8,148.10714203387877,positive
main_fit,您的光临,30,0,5,146.9242764767005,positive
main_fit,"xx元,",50,1,10,145.93602217815254,positive
main_fit,新老顾,28,0,5,137.5280604600303,positive
main_fit,新老顾客,28,0,5,137.5280604600303,positive
main_fit,可享受,26,0,6,136.36379489719272,positive
main_fit,优惠活,31,0,3,135.10322633659771,positive
main_fit,优惠活动,31,0,3,135.10322633659771,positive
main_fit,新年,47,1,9,133.42069183854017,positive
main_fit,你好,72,3,22,133.2008990793158,positive
main_fit,"您好,我",25,0,6,131.69796430638962,positive
main_fit,线:xx,26,0,5,128.2322284035899,positive
main_fit,至x月,26,0,5,128.2322284035899,positive
main_fit,元宵节,44,1,9,125.65299746677465,positive
main_fit,宵节,44,1,9,125.65299746677465,positive
main_fit,迎您,44,1,9,125.65299746677465,positive
main_fit,热线:x,25,0,5,123.62353936146526,positive
main_fit,至x月x,25,0,5,123.62353936146526,positive
main_fit,欢迎您,43,1,9,123.07904932011579,positive
main_fit,咨询x,16,0,10,121.94596404216017,positive
main_fit,咨询xx,16,0,10,121.94596404216017,positive
main_fit,.com,17,0,9,118.65012717615585,positive
main_fit,新年好,22,0,6,117.8553540495266,positive
main_fit,全场x,39,1,10,117.36069016284438,positive
main_fit,人节,47,1,5,115.13846549301154,positive
main_fit,农行,16,0,9,114.03337883075187,positive
main_fit,话x,42,1,7,111.49265565470216,positive
main_fit,话xx,42,1,7,111.49265565470216,positive
main_fit,话xxx,42,1,7,111.49265565470216,positive
main_fit,我公,22,0,5,109.96274883578172,positive
main_fit,我公司,22,0,5,109.96274883578172,positive
main_fit,您的,94,5,20,106.76097288817313,positive
main_fit,电话x,40,1,7,106.45802779996701,positive
main_fit,电话xx,40,1,7,106.45802779996701,positive
main_fit,xx送x,21,0,5,105.46677971213853,positive
main_fit,x送x,21,0,5,105.46677971213853,positive
main_fit_negative,20,369,1,2,1106.8331507490784,hard_negative
main_fit_negative,10,280,1,4,816.78468654882,hard_negative
main_fit_negative,15,273,1,7,811.9230723840593,hard_negative
main_fit_negative,飞机,264,1,1,745.3967572223569,hard_negative
main_fit_negative,01,246,1,4,704.4952497393024,hard_negative
main_fit_negative,的人,140,0,0,697.7751445433217,hard_negative
main_fit_negative,201,213,1,0,574.1594336073381,hard_negative
main_fit_negative,015,177,1,1,466.86472252566796,hard_negative
main_fit_negative,百度,175,1,0,455.0025915633573,hard_negative
main_fit_negative,违法,97,0,0,449.32681290971607,hard_negative
main_fit_negative,2015,173,1,0,448.83781103166405,hard_negative
main_fit_negative,微软,93,0,0,427.0697095333804,hard_negative
main_fit_negative,真的,93,0,0,427.0697095333804,hard_negative
main_fit_negative,城管,91,0,0,416.00454908851174,hard_negative
main_fit_negative,质疑,91,0,0,416.00454908851174,hard_negative
main_fit_negative,江苏,154,1,4,413.1156924809489,hard_negative
main_fit_negative,st,82,0,1,376.61942790168166,hard_negative
main_fit_negative,14,76,0,3,363.70821067793213,hard_negative
main_fit_negative,50,136,1,3,353.3274332165652,hard_negative
main_fit_negative,发布,76,0,1,344.17999730847777,hard_negative
main_fit_negative,18,67,0,5,334.6558364095745,hard_negative
main_fit_negative,win,76,0,0,334.47301748273367,hard_negative
main_fit_negative,ow,74,0,0,323.81160851522327,hard_negative
main_fit_negative,南京,277,4,1,315.3478597819965,hard_negative
main_fit_negative,16,72,0,0,313.2035392038325,hard_negative
main_fit_negative,这样,72,0,0,313.2035392038325,hard_negative
main_fit_negative,12,120,1,3,306.0878794159199,hard_negative
main_fit_negative,80,67,0,2,305.89165742755387,hard_negative
main_fit_negative,wi,125,1,0,304.68576013794313,hard_negative
main_fit_negative,5年,124,1,0,301.76960858139387,hard_negative
main_fit_negative,13,60,0,4,288.03272162279893,hard_negative
main_fit_negative,警察,66,0,0,281.7144054991947,hard_negative
main_fit_negative,30,113,1,2,280.4618212752755,hard_negative
main_fit_negative,知道,160,2,0,272.70203425416616,hard_negative
main_fit_negative,15年,112,1,0,267.09741175724724,hard_negative
main_fit_negative,研究,63,0,0,266.168517335019,hard_negative
main_fit_negative,公安,62,0,0,261.0174877626666,hard_negative
main_fit_negative,千骨,108,1,1,260.8766603014791,hard_negative
main_fit_negative,花千,108,1,1,260.8766603014791,hard_negative
main_fit_negative,花千骨,108,1,1,260.8766603014791,hard_negative
main_fit_negative,19,60,0,1,260.00946625784076,hard_negative
main_fit_negative,nd,104,1,3,259.8582831053942,hard_negative
main_fit_negative,er,147,2,3,257.55369828983277,hard_negative
main_fit_negative,015年,107,1,0,252.83508626470788,hard_negative
main_fit_negative,真相,107,1,0,252.83508626470788,hard_negative
main_fit_negative,医生,106,1,0,249.99634264371196,hard_negative
main_fit_negative,7月,104,1,1,249.4939915349956,hard_negative
main_fit_negative,行为,59,0,0,245.66067373332604,hard_negative
main_fit_negative,90,55,0,2,243.62658063278514,hard_negative
main_fit_negative,检察,58,0,0,240.57470919043746,hard_negative
main_fit_negative,法律,57,0,0,235.50569461169232,hard_negative
main_fit_negative,社会,57,0,0,235.50569461169232,hard_negative
main_fit_negative,发生,56,0,0,230.45392226656938,hard_negative
main_fit_negative,腐败,56,0,0,230.45392226656938,hard_negative
main_fit_negative,电脑,246,5,0,226.80315319118506,hard_negative
main_fit_negative,de,49,0,3,222.33634715891884,hard_negative
main_fit_negative,ea,52,0,1,219.3941225610351,hard_negative
main_fit_negative,机器,94,1,0,216.3091523510257,hard_negative
main_fit_negative,腾讯,94,1,0,216.3091523510257,hard_negative
main_fit_negative,察院,53,0,0,215.40513851447082,hard_negative
main_fit_negative,所以,53,0,0,215.40513851447082,hard_negative
main_fit_negative,mo,51,0,1,214.39576333181458,hard_negative
main_fit_negative,ti,51,0,1,214.39576333181458,hard_negative
main_fit_negative,nba,52,0,0,210.42547141826248,hard_negative
main_fit_negative,检察院,52,0,0,210.42547141826248,hard_negative
main_fit_negative,里的,52,0,0,210.42547141826248,hard_negative
main_fit_negative,器人,91,1,0,208.00227454425587,hard_negative
main_fit_negative,机器人,91,1,0,208.00227454425587,hard_negative
main_fit_negative,浙江,188,4,4,207.34999344285248,hard_negative
main_fit_negative,as,51,0,0,205.46467336623422,hard_negative
main_fit_negative,ind,51,0,0,205.46467336623422,hard_negative
main_fit_negative,出现,51,0,0,205.46467336623422,hard_negative
main_fit_negative,扬州,51,0,0,205.46467336623422,hard_negative
main_fit_negative,来自,51,0,0,205.46467336623422,hard_negative
main_fit_negative,犯罪,51,0,0,205.46467336623422,hard_negative
main_fit_negative,21,45,0,3,202.37465550175258,hard_negative
main_fit_negative,应该,50,0,0,200.5231072689406,hard_negative
main_fit_negative,方向,50,0,0,200.5231072689406,hard_negative
main_fit_negative,25,44,0,3,197.43125155630244,hard_negative
main_fit_negative,还是,122,2,0,197.2995585702691,hard_negative
main_train,优惠,219,1,27,754.7862021180329,positive
main_train,您好,179,2,45,487.44903619839783,positive
main_train,x折,189,2,27,437.56498475462405,positive
main_train,尊敬,74,0,11,432.0716877365902,positive
main_train,尊敬的,74,0,11,432.0716877365902,positive
main_train,敬的,74,0,11,432.0716877365902,positive
main_train,新老,68,0,13,418.6383284901041,positive
main_train,三八,114,1,26,413.22145084657706,positive
main_train,"好,我是",54,0,16,370.85314930259443,positive
main_train,女节,61,0,11,360.39859305646485,positive
main_train,妇女节,59,0,11,349.5397499173879,positive
main_train,送xx,59,0,7,311.14725383493146,positive
main_train,满x,96,1,15,299.6246783272385,positive
main_train,好消,42,0,15,296.4123397698886,positive
main_train,好消息,42,0,15,296.4123397698886,positive
main_train,八节,49,0,11,295.98291822047844,positive
main_train,女人节,59,0,5,292.2071088926946,positive
main_train,满xx,92,1,14,282.7061444849453,positive
main_train,致电,67,1,26,272.5976869362002,positive
main_train,谢您,39,0,14,271.25091516637065,positive
main_train,元宵,84,1,16,269.9845502352137,positive
main_train,满xxx,85,1,13,257.32671160753705,positive
main_train,三八节,45,0,9,256.46932385487816,positive
main_train,感谢您,36,0,14,255.56866612708117,positive
main_train,询x,35,0,14,250.36947234740134,positive
main_train,询xx,35,0,14,250.36947234740134,positive
main_train,询xxx,35,0,14,250.36947234740134,positive
main_train,抢购,42,0,10,250.12839055378367,positive
main_train,惠活,49,0,6,249.57180482557928,positive
main_train,送x,79,1,13,240.2277731371226,positive
main_train,光临,76,1,14,236.82012409213462,positive
main_train,惠活动,48,0,5,235.3500587472922,positive
main_train,的光临,48,0,5,235.3500587472922,positive
main_train,送xxx,47,0,5,230.27693098602307,positive
main_train,x.x折,83,1,7,221.03211581932564,positive
main_train,春季,32,0,12,216.97976191690822,positive
main_train,祝您,76,1,10,216.5965437547473,positive
main_train,老顾,43,0,5,210.15829609797382,positive
main_train,老顾客,43,0,5,210.15829609797382,positive
main_train,全场,123,3,21,206.53445031045382,positive
main_train,三月,44,0,4,206.2664757998632,positive
main_train,您的光,42,0,5,205.17365357811823,positive
main_train,详询,40,0,6,204.0578228906331,positive
