protocol_id,protocol_name,dataset,dataset_type,source_path,model_version,training_scope,description,encoder,risk_bonus,threshold,n_samples,n_normal,n_spam,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,6000,5396,604,0.9923333333333333,0.9619205298013245,0.9619205298013245,0.9619205298013245,0.9788290565982161,0.9923333333333333,0.9788290565982161,0.004262416604892513,5373.0,23.0,23.0,581.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_autoaug_filtered_main,main_only_autoaug_filtered,v8 main + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.75,6000,5396,604,0.9918333333333333,0.961730449251248,0.956953642384106,0.9593360995850623,0.9773984805475102,0.9918243021428522,0.9763456128896068,0.004262416604892513,5373.0,23.0,26.0,578.0,0.9979277021487587,0.9885499233228872,0.9784768211920529,0.9619205298013245
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,6000,5396,604,0.9716666666666667,0.8013888888888889,0.9552980132450332,0.8716012084592145,0.9278388207901168,0.9727539271717308,0.9643984506551333,0.026501111934766494,5253.0,143.0,27.0,577.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_autoaug_filtered_multisource,main_plus_external_adapt_autoaug_filtered,v8 multisource + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.65,6000,5396,604,0.973,0.8139204545454546,0.9486754966887417,0.8761467889908257,0.9304976369196553,0.9739058474654805,0.9621991271434813,0.024277242401779097,5265.0,131.0,31.0,573.0,0.993259355716032,0.9553731440671335,0.8509933774834437,0.7615894039735099
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,7000,3500,3500,0.6448571428571429,0.9875,0.2934285714285714,0.4524229074889868,0.5948161049072841,0.5948161049072841,0.6448571428571429,0.0037142857142857142,3487.0,13.0,2473.0,1027.0,0.9637791020408164,0.9627171447899266,0.9228571428571428,0.8437142857142857
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_autoaug_filtered_main,main_only_autoaug_filtered,v8 main + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.75,7000,3500,3500,0.6837142857142857,0.989345509893455,0.37142857142857144,0.540091400083091,0.6495362291075155,0.6495362291075154,0.6837142857142857,0.004,3486.0,14.0,2200.0,1300.0,0.9667059591836734,0.9658033566285885,0.9305714285714286,0.8614285714285714
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,7000,3500,3500,0.9708571428571429,0.9771279675738275,0.9642857142857143,0.9706643658326143,0.9708558843071672,0.9708558843071672,0.9708571428571429,0.022571428571428572,3421.0,79.0,125.0,3375.0,0.994062448979592,0.9941274080654213,0.9894285714285714,0.9805714285714285
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_autoaug_filtered_multisource,main_plus_external_adapt_autoaug_filtered,v8 multisource + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.65,7000,3500,3500,0.9708571428571429,0.9779582366589327,0.9634285714285714,0.9706390328151986,0.9708555345584784,0.9708555345584785,0.9708571428571429,0.021714285714285714,3424.0,76.0,128.0,3372.0,0.9944841632653062,0.9947598976915949,0.99,0.9802857142857143
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,6959,3471,3488,0.49877856013795085,0.5,0.0031536697247706424,0.0062678062678062675,0.33557049037448733,0.334766043524392,0.4999922770980523,0.0031691155286660906,3460.0,11.0,3477.0,11.0,0.5076558737666484,0.4949877888738203,0.0005733944954128441,0.0005733944954128441
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_autoaug_filtered_main,main_only_autoaug_filtered,v8 main + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.75,6959,3471,3488,0.49288690903865495,0.29292929292929293,0.008314220183486239,0.016169500975745748,0.337288118990438,0.3365036648294594,0.49407356068235103,0.020167098818784212,3401.0,70.0,3459.0,29.0,0.4398117908145869,0.4458354388215293,0.0,0.0
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,6959,3471,3488,0.8525650237103032,0.8851689612015019,0.8110665137614679,0.8464991023339318,0.8523344281368304,0.8523201731377429,0.8526666478343496,0.10573321809276866,3104.0,367.0,659.0,2829.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_autoaug_filtered_multisource,main_plus_external_adapt_autoaug_filtered,v8 multisource + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.65,6959,3471,3488,0.8475355654548067,0.8732697631498001,0.8139334862385321,0.8425582430627689,0.847383035725562,0.8473712493373929,0.8476178523097011,0.11869778161912993,3059.0,412.0,649.0,2839.0,0.9139424646282831,0.9190953459689548,0.7729357798165137,0.6232798165137615
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,5412,3258,2154,0.753880266075388,0.9801401869158879,0.3895078922934076,0.5574750830564784,0.6935059060022601,0.7212549874013997,0.6921449835929898,0.0052179251074278695,3241.0,17.0,1315.0,839.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_autoaug_filtered_main,main_only_autoaug_filtered,v8 main + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.75,5412,3258,2154,0.7317073170731707,0.9198564593301436,0.35701021355617457,0.51438127090301,0.6645176714484414,0.6951441655730084,0.6682227249487441,0.02056476365868631,3191.0,67.0,1385.0,769.0,0.8229136564348709,0.7892633079364871,0.4103992571959146,0.21959145775301764
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,5412,3258,2154,0.9199926090169993,0.8970927549607752,0.9025069637883009,0.8997917148808147,0.9166035308219236,0.9200329921668946,0.9170300319248441,0.06844689993861265,3035.0,223.0,210.0,1944.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_autoaug_filtered_multisource,main_plus_external_adapt_autoaug_filtered,v8 multisource + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.65,5412,3258,2154,0.9159275683665927,0.8902158934313276,0.8997214484679665,0.8949434310782729,0.9124339825959669,0.9160018999787337,0.9131817800964757,0.07335788827501534,3019.0,239.0,216.0,1938.0,0.971771293061633,0.9627653901659333,0.8797585886722377,0.7818012999071495
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_autoaug_filtered_main,main_only_autoaug_filtered,v8 main + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.75,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,131,0,131,0.9923664122137404,1.0,0.9923664122137404,0.9961685823754789,0.49808429118773945,0.9961685823754788,0.9923664122137404,0.0,0.0,0.0,1.0,130.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_autoaug_filtered_multisource,main_plus_external_adapt_autoaug_filtered,v8 multisource + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.65,131,0,131,0.9770992366412213,1.0,0.9770992366412213,0.9884169884169884,0.4942084942084942,0.9884169884169884,0.9770992366412213,0.0,0.0,0.0,3.0,128.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,270,0,270,0.04814814814814815,1.0,0.04814814814814815,0.09187279151943463,0.045936395759717315,0.09187279151943463,0.04814814814814815,0.0,0.0,0.0,257.0,13.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v8_semantic_autoaug_filtered_main,main_only_autoaug_filtered,v8 main + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.75,270,0,270,0.26666666666666666,1.0,0.26666666666666666,0.42105263157894735,0.21052631578947367,0.42105263157894735,0.26666666666666666,0.0,0.0,0.0,198.0,72.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,270,0,270,0.5888888888888889,1.0,0.5888888888888889,0.7412587412587412,0.3706293706293706,0.7412587412587412,0.5888888888888889,0.0,0.0,0.0,111.0,159.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v8_semantic_autoaug_filtered_multisource,main_plus_external_adapt_autoaug_filtered,v8 multisource + filtered automatic hard-case augmentation + hard negatives,BAAI/bge-small-zh-v1.5,0.0,0.65,270,0,270,0.6296296296296297,1.0,0.6296296296296297,0.7727272727272727,0.38636363636363635,0.7727272727272727,0.6296296296296297,0.0,0.0,0.0,100.0,170.0,,,,
