protocol_id,protocol_name,dataset,dataset_type,source_path,model_version,training_scope,description,encoder,risk_bonus,threshold,n_samples,n_normal,n_spam,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,6000,5396,604,0.9923333333333333,0.9619205298013245,0.9619205298013245,0.9619205298013245,0.9788290565982161,0.9923333333333333,0.9788290565982161,0.004262416604892513,5373.0,23.0,23.0,581.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_autoaug_main,main_only_autoaug,v8 main + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.8,6000,5396,604,0.991,0.964527027027027,0.945364238410596,0.9548494983277592,0.974925674746997,0.9909598476471616,0.970736233363934,0.0038917716827279467,5375.0,21.0,33.0,571.0,0.9979215656434248,0.9877757581103687,0.9801324503311258,0.9635761589403974
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,6000,5396,604,0.9716666666666667,0.8013888888888889,0.9552980132450332,0.8716012084592145,0.9278388207901168,0.9727539271717308,0.9643984506551333,0.026501111934766494,5253.0,143.0,27.0,577.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_autoaug_multisource,main_plus_external_adapt_autoaug,v8 multisource + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.7,6000,5396,604,0.9726666666666667,0.8244837758112095,0.9254966887417219,0.8720748829953198,0.9283867604004403,0.9733611798213297,0.9517216579364651,0.022053372868791696,5277.0,119.0,45.0,559.0,0.992867233025199,0.9516231958605986,0.8311258278145696,0.7301324503311258
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,7000,3500,3500,0.6448571428571429,0.9875,0.2934285714285714,0.4524229074889868,0.5948161049072841,0.5948161049072841,0.6448571428571429,0.0037142857142857142,3487.0,13.0,2473.0,1027.0,0.9637791020408164,0.9627171447899266,0.9228571428571428,0.8437142857142857
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_autoaug_main,main_only_autoaug,v8 main + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.8,7000,3500,3500,0.6565714285714286,0.9884135472370766,0.31685714285714284,0.47987884032886197,0.611767101972919,0.611767101972919,0.6565714285714286,0.0037142857142857142,3487.0,13.0,2391.0,1109.0,0.9656164081632652,0.9642540038992535,0.9285714285714286,0.8577142857142858
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,7000,3500,3500,0.9708571428571429,0.9771279675738275,0.9642857142857143,0.9706643658326143,0.9708558843071672,0.9708558843071672,0.9708571428571429,0.022571428571428572,3421.0,79.0,125.0,3375.0,0.994062448979592,0.9941274080654213,0.9894285714285714,0.9805714285714285
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_autoaug_multisource,main_plus_external_adapt_autoaug,v8 multisource + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.7,7000,3500,3500,0.9687142857142857,0.9812261660310941,0.9557142857142857,0.9683022145028224,0.968708997534869,0.9687089975348692,0.9687142857142857,0.018285714285714287,3436.0,64.0,155.0,3345.0,0.9943611428571428,0.9944774473353479,0.9902857142857143,0.9805714285714285
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,6959,3471,3488,0.49877856013795085,0.5,0.0031536697247706424,0.0062678062678062675,0.33557049037448733,0.334766043524392,0.4999922770980523,0.0031691155286660906,3460.0,11.0,3477.0,11.0,0.5076558737666484,0.4949877888738203,0.0005733944954128441,0.0005733944954128441
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_autoaug_main,main_only_autoaug,v8 main + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.8,6959,3471,3488,0.4905877281218566,0.23853211009174313,0.007454128440366973,0.014456491520711705,0.3354910109962826,0.33470676227792007,0.4917708556347614,0.023912417170844136,3388.0,83.0,3462.0,26.0,0.456199623551894,0.4532496537483791,0.0,0.0
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,6959,3471,3488,0.8525650237103032,0.8851689612015019,0.8110665137614679,0.8464991023339318,0.8523344281368304,0.8523201731377429,0.8526666478343496,0.10573321809276866,3104.0,367.0,659.0,2829.0,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_autoaug_multisource,main_plus_external_adapt_autoaug,v8 multisource + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.7,6959,3471,3488,0.8483977582986061,0.8887823585810163,0.7973050458715596,0.8405621883028562,0.8480307174906967,0.848012472772175,0.8485228773005162,0.10025929127052723,3123.0,348.0,707.0,2781.0,0.9134439038137755,0.9174949675394768,0.7689220183486238,0.6026376146788991
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,5412,3258,2154,0.753880266075388,0.9801401869158879,0.3895078922934076,0.5574750830564784,0.6935059060022601,0.7212549874013997,0.6921449835929898,0.0052179251074278695,3241.0,17.0,1315.0,839.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_autoaug_main,main_only_autoaug,v8 main + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.8,5412,3258,2154,0.7180339985218034,0.9120734908136483,0.3226555246053853,0.4766803840877915,0.6418556194591715,0.6755499025061048,0.6510453804733495,0.02056476365868631,3191.0,67.0,1459.0,695.0,0.8194928931455348,0.7824944381421187,0.36118848653667596,0.19452181987000927
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,5412,3258,2154,0.9199926090169993,0.8970927549607752,0.9025069637883009,0.8997917148808147,0.9166035308219236,0.9200329921668946,0.9170300319248441,0.06844689993861265,3035.0,223.0,210.0,1944.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_autoaug_multisource,main_plus_external_adapt_autoaug,v8 multisource + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.7,5412,3258,2154,0.9129711751662971,0.8971212836243511,0.882544103992572,0.8897729932131991,0.9089377864860073,0.9128472343376667,0.9078159439545426,0.0669122160834868,3040.0,218.0,253.0,1901.0,0.9710184857443972,0.9614139927964709,0.8783658310120706,0.7804085422469823
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_main,main_only,Frozen sentence encoder + Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.75,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_autoaug_main,main_only_autoaug,v8 main + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.8,131,0,131,0.9847328244274809,1.0,0.9847328244274809,0.9923076923076923,0.49615384615384617,0.9923076923076923,0.9847328244274809,0.0,0.0,0.0,2.0,129.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,Frozen sentence encoder + multi-source Logistic Regression,BAAI/bge-small-zh-v1.5,0.0,0.65,131,0,131,0.9923664122137404,1.0,0.9923664122137404,0.9961685823754789,0.49808429118773945,0.9961685823754788,0.9923664122137404,0.0,0.0,0.0,1.0,130.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_autoaug_multisource,main_plus_external_adapt_autoaug,v8 multisource + automatic hard-case positive augmentation,BAAI/bge-small-zh-v1.5,0.0,0.7,131,0,131,0.9694656488549618,1.0,0.9694656488549618,0.9844961240310077,0.49224806201550386,0.9844961240310078,0.9694656488549618,0.0,0.0,0.0,4.0,127.0,,,,
